original_score,improvement,action_type,action_magnitude,baseline_value,is_critical,magnitude_x_baseline,original_sleep,original_stress,original_exercise,original_screen
88.51257,-22.126743,EXERCISE_INCREASE,1.0,0.0,1,0.0,9.8,4.0,0.0,2.3
88.51257,-20.408092,EXERCISE_INCREASE,2.0,0.0,1,0.0,9.8,4.0,0.0,2.3
88.51257,-20.721857,EXERCISE_INCREASE,3.0,0.0,1,0.0,9.8,4.0,0.0,2.3
88.51257,-20.086132,EXERCISE_INCREASE,4.0,0.0,1,0.0,9.8,4.0,0.0,2.3
88.51257,-3.6672416,SCREEN_DECREASE,-1.0,2.3,0,2.3,9.8,4.0,0.0,2.3
88.51257,-3.3347676,SCREEN_DECREASE,-2.0,2.3,0,4.6,9.8,4.0,0.0,2.3
88.51257,-3.3775694,SCREEN_DECREASE,-3.0,2.3,0,6.8999999999999995,9.8,4.0,0.0,2.3
88.51257,-3.4775107,SCREEN_DECREASE,-4.0,2.3,0,9.2,9.8,4.0,0.0,2.3
77.10637,32.427296,SLEEP_INCREASE,0.5,4.5,1,2.25,4.5,4.0,0.0,2.4
77.10637,35.045322,SLEEP_INCREASE,1.0,4.5,1,4.5,4.5,4.0,0.0,2.4
77.10637,32.39521,SLEEP_INCREASE,1.5,4.5,1,6.75,4.5,4.0,0.0,2.4
77.10637,30.791088,SLEEP_INCREASE,2.0,4.5,1,9.0,4.5,4.0,0.0,2.4
77.10637,32.694126,SLEEP_INCREASE,2.5,4.5,1,11.25,4.5,4.0,0.0,2.4
77.10637,8.54897,STRESS_DECREASE,-1.0,4.0,0,4.0,4.5,4.0,0.0,2.4
77.10637,8.584407,STRESS_DECREASE,-2.0,4.0,0,8.0,4.5,4.0,0.0,2.4
77.10637,8.766682,STRESS_DECREASE,-3.0,4.0,0,12.0,4.5,4.0,0.0,2.4
77.10637,8.63827,STRESS_DECREASE,-4.0,4.0,0,16.0,4.5,4.0,0.0,2.4
77.10637,25.86627,EXERCISE_INCREASE,1.0,0.0,1,0.0,4.5,4.0,0.0,2.4
77.10637,25.20385,EXERCISE_INCREASE,2.0,0.0,1,0.0,4.5,4.0,0.0,2.4
77.10637,24.041277,EXERCISE_INCREASE,3.0,0.0,1,0.0,4.5,4.0,0.0,2.4
77.10637,23.775784,EXERCISE_INCREASE,4.0,0.0,1,0.0,4.5,4.0,0.0,2.4
77.10637,3.8846507,SCREEN_DECREASE,-1.0,2.4,0,2.4,4.5,4.0,0.0,2.4
77.10637,4.052602,SCREEN_DECREASE,-2.0,2.4,0,4.8,4.5,4.0,0.0,2.4
77.10637,3.916235,SCREEN_DECREASE,-3.0,2.4,0,7.199999999999999,4.5,4.0,0.0,2.4
77.10637,3.9345567,SCREEN_DECREASE,-4.0,2.4,0,9.6,4.5,4.0,0.0,2.4
58.4616,2.8396916,SLEEP_INCREASE,0.5,7.4,0,3.7,7.4,9.0,2.0,7.3
58.4616,2.997418,SLEEP_INCREASE,1.0,7.4,0,7.4,7.4,9.0,2.0,7.3
58.4616,3.0394633,SLEEP_INCREASE,1.5,7.4,0,11.100000000000001,7.4,9.0,2.0,7.3
58.4616,3.5053818,SLEEP_INCREASE,2.0,7.4,0,14.8,7.4,9.0,2.0,7.3
58.4616,4.005952,SLEEP_INCREASE,2.5,7.4,0,18.5,7.4,9.0,2.0,7.3
58.4616,23.858753,STRESS_DECREASE,-1.0,9.0,1,9.0,7.4,9.0,2.0,7.3
58.4616,-10.590582,STRESS_DECREASE,-2.0,9.0,1,18.0,7.4,9.0,2.0,7.3
58.4616,7.4405026,STRESS_DECREASE,-3.0,9.0,1,27.0,7.4,9.0,2.0,7.3
58.4616,33.831863,STRESS_DECREASE,-4.0,9.0,1,36.0,7.4,9.0,2.0,7.3
58.4616,16.553171,EXERCISE_INCREASE,1.0,2.0,1,2.0,7.4,9.0,2.0,7.3
58.4616,16.160261,EXERCISE_INCREASE,2.0,2.0,1,4.0,7.4,9.0,2.0,7.3
58.4616,17.422987,EXERCISE_INCREASE,3.0,2.0,1,6.0,7.4,9.0,2.0,7.3
58.4616,21.694336,EXERCISE_INCREASE,4.0,2.0,1,8.0,7.4,9.0,2.0,7.3
58.4616,2.7522938,SCREEN_DECREASE,-1.0,7.3,0,7.3,7.4,9.0,2.0,7.3
58.4616,3.0464463,SCREEN_DECREASE,-2.0,7.3,0,14.6,7.4,9.0,2.0,7.3
58.4616,2.902337,SCREEN_DECREASE,-3.0,7.3,0,21.9,7.4,9.0,2.0,7.3
58.4616,3.0041091,SCREEN_DECREASE,-4.0,7.3,0,29.2,7.4,9.0,2.0,7.3
34.50685,7.5372295,SLEEP_INCREASE,0.5,8.4,0,4.2,8.4,7.0,1.0,7.1
34.50685,8.521899,SLEEP_INCREASE,1.0,8.4,0,8.4,8.4,7.0,1.0,7.1
34.50685,8.7163,SLEEP_INCREASE,1.5,8.4,0,12.600000000000001,8.4,7.0,1.0,7.1
34.50685,7.920385,SLEEP_INCREASE,2.0,8.4,0,16.8,8.4,7.0,1.0,7.1
34.50685,8.291848,SLEEP_INCREASE,2.5,8.4,0,21.0,8.4,7.0,1.0,7.1
34.50685,80.56644,STRESS_DECREASE,-1.0,7.0,1,7.0,8.4,7.0,1.0,7.1
34.50685,106.1171,STRESS_DECREASE,-2.0,7.0,1,14.0,8.4,7.0,1.0,7.1
34.50685,140.21207,STRESS_DECREASE,-3.0,7.0,1,21.0,8.4,7.0,1.0,7.1
34.50685,164.7909,STRESS_DECREASE,-4.0,7.0,1,28.0,8.4,7.0,1.0,7.1
34.50685,54.31584,EXERCISE_INCREASE,1.0,1.0,1,1.0,8.4,7.0,1.0,7.1
34.50685,55.886425,EXERCISE_INCREASE,2.0,1.0,1,2.0,8.4,7.0,1.0,7.1
34.50685,49.813515,EXERCISE_INCREASE,3.0,1.0,1,3.0,8.4,7.0,1.0,7.1
34.50685,50.901527,EXERCISE_INCREASE,4.0,1.0,1,4.0,8.4,7.0,1.0,7.1
34.50685,7.7509465,SCREEN_DECREASE,-1.0,7.1,0,7.1,8.4,7.0,1.0,7.1
34.50685,8.858261,SCREEN_DECREASE,-2.0,7.1,0,14.2,8.4,7.0,1.0,7.1
34.50685,8.046921,SCREEN_DECREASE,-3.0,7.1,0,21.299999999999997,8.4,7.0,1.0,7.1
34.50685,8.1926,SCREEN_DECREASE,-4.0,7.1,0,28.4,8.4,7.0,1.0,7.1
57.26693,11.101035,SLEEP_INCREASE,0.5,9.0,0,4.5,9.0,3.0,0.0,5.8
57.26693,11.406227,SLEEP_INCREASE,1.0,9.0,0,9.0,9.0,3.0,0.0,5.8
57.26693,11.588729,SLEEP_INCREASE,1.5,9.0,0,13.5,9.0,3.0,0.0,5.8
57.26693,10.643642,SLEEP_INCREASE,2.0,9.0,0,18.0,9.0,3.0,0.0,5.8
57.26693,11.300132,SLEEP_INCREASE,2.5,9.0,0,22.5,9.0,3.0,0.0,5.8
57.26693,15.660297,STRESS_DECREASE,-1.0,3.0,0,3.0,9.0,3.0,0.0,5.8
57.26693,14.697753,STRESS_DECREASE,-2.0,3.0,0,6.0,9.0,3.0,0.0,5.8
57.26693,15.196621,STRESS_DECREASE,-3.0,3.0,0,9.0,9.0,3.0,0.0,5.8
57.26693,14.725911,STRESS_DECREASE,-4.0,3.0,0,12.0,9.0,3.0,0.0,5.8
57.26693,93.323845,EXERCISE_INCREASE,1.0,0.0,1,0.0,9.0,3.0,0.0,5.8
57.26693,87.53086,EXERCISE_INCREASE,2.0,0.0,1,0.0,9.0,3.0,0.0,5.8
57.26693,96.94084,EXERCISE_INCREASE,3.0,0.0,1,0.0,9.0,3.0,0.0,5.8
57.26693,89.24132,EXERCISE_INCREASE,4.0,0.0,1,0.0,9.0,3.0,0.0,5.8
57.26693,14.54961,SCREEN_DECREASE,-1.0,5.8,0,5.8,9.0,3.0,0.0,5.8
57.26693,14.799662,SCREEN_DECREASE,-2.0,5.8,0,11.6,9.0,3.0,0.0,5.8
57.26693,15.628651,SCREEN_DECREASE,-3.0,5.8,0,17.4,9.0,3.0,0.0,5.8
57.26693,14.402376,SCREEN_DECREASE,-4.0,5.8,0,23.2,9.0,3.0,0.0,5.8
63.993385,-0.78337884,SLEEP_INCREASE,0.5,8.7,0,4.35,8.7,7.0,1.0,5.8
63.993385,-0.6525583,SLEEP_INCREASE,1.0,8.7,0,8.7,8.7,7.0,1.0,5.8
63.993385,-0.64612335,SLEEP_INCREASE,1.5,8.7,0,13.049999999999999,8.7,7.0,1.0,5.8
63.993385,-0.6912507,SLEEP_INCREASE,2.0,8.7,0,17.4,8.7,7.0,1.0,5.8
63.993385,-0.6914611,SLEEP_INCREASE,2.5,8.7,0,21.75,8.7,7.0,1.0,5.8
63.993385,-3.9306345,STRESS_DECREASE,-1.0,7.0,1,7.0,8.7,7.0,1.0,5.8
63.993385,16.41747,STRESS_DECREASE,-2.0,7.0,1,14.0,8.7,7.0,1.0,5.8
63.993385,63.643703,STRESS_DECREASE,-3.0,7.0,1,21.0,8.7,7.0,1.0,5.8
63.993385,96.46389,STRESS_DECREASE,-4.0,7.0,1,28.0,8.7,7.0,1.0,5.8
63.993385,-8.823997,EXERCISE_INCREASE,1.0,1.0,1,1.0,8.7,7.0,1.0,5.8
63.993385,-6.335371,EXERCISE_INCREASE,2.0,1.0,1,2.0,8.7,7.0,1.0,5.8
63.993385,-5.4829764,EXERCISE_INCREASE,3.0,1.0,1,3.0,8.7,7.0,1.0,5.8
63.993385,-4.674943,EXERCISE_INCREASE,4.0,1.0,1,4.0,8.7,7.0,1.0,5.8
63.993385,-1.4453464,SCREEN_DECREASE,-1.0,5.8,0,5.8,8.7,7.0,1.0,5.8
63.993385,-1.3265595,SCREEN_DECREASE,-2.0,5.8,0,11.6,8.7,7.0,1.0,5.8
63.993385,-1.368471,SCREEN_DECREASE,-3.0,5.8,0,17.4,8.7,7.0,1.0,5.8
63.993385,-0.98999625,SCREEN_DECREASE,-4.0,5.8,0,23.2,8.7,7.0,1.0,5.8
95.86697,10.311933,SLEEP_INCREASE,0.5,6.0,1,3.0,6.0,1.0,2.0,2.0
95.86697,10.3928,SLEEP_INCREASE,1.0,6.0,1,6.0,6.0,1.0,2.0,2.0
95.86697,9.433072,SLEEP_INCREASE,1.5,6.0,1,9.0,6.0,1.0,2.0,2.0
95.86697,9.358978,SLEEP_INCREASE,2.0,6.0,1,12.0,6.0,1.0,2.0,2.0
95.86697,8.238359,SLEEP_INCREASE,2.5,6.0,1,15.0,6.0,1.0,2.0,2.0
95.86697,1.2735798,STRESS_DECREASE,-1.0,1.0,0,1.0,6.0,1.0,2.0,2.0
95.86697,1.2746975,STRESS_DECREASE,-2.0,1.0,0,2.0,6.0,1.0,2.0,2.0
95.86697,1.170689,STRESS_DECREASE,-3.0,1.0,0,3.0,6.0,1.0,2.0,2.0
95.86697,1.2906103,STRESS_DECREASE,-4.0,1.0,0,4.0,6.0,1.0,2.0,2.0
95.86697,7.8387604,EXERCISE_INCREASE,1.0,2.0,1,2.0,6.0,1.0,2.0,2.0
95.86697,7.7111206,EXERCISE_INCREASE,2.0,2.0,1,4.0,6.0,1.0,2.0,2.0
95.86697,8.34625,EXERCISE_INCREASE,3.0,2.0,1,6.0,6.0,1.0,2.0,2.0
95.86697,8.239591,EXERCISE_INCREASE,4.0,2.0,1,8.0,6.0,1.0,2.0,2.0
95.86697,1.2644782,SCREEN_DECREASE,-1.0,2.0,0,2.0,6.0,1.0,2.0,2.0
95.86697,1.2784172,SCREEN_DECREASE,-2.0,2.0,0,4.0,6.0,1.0,2.0,2.0
95.86697,1.1398604,SCREEN_DECREASE,-3.0,2.0,0,6.0,6.0,1.0,2.0,2.0
95.86697,1.1871307,SCREEN_DECREASE,-4.0,2.0,0,8.0,6.0,1.0,2.0,2.0
70.60072,93.172295,SLEEP_INCREASE,0.5,6.1,1,3.05,6.1,3.0,1.0,7.9
70.60072,96.47072,SLEEP_INCREASE,1.0,6.1,1,6.1,6.1,3.0,1.0,7.9
70.60072,87.957855,SLEEP_INCREASE,1.5,6.1,1,9.149999999999999,6.1,3.0,1.0,7.9
70.60072,101.09645,SLEEP_INCREASE,2.0,6.1,1,12.2,6.1,3.0,1.0,7.9
70.60072,88.050575,SLEEP_INCREASE,2.5,6.1,1,15.25,6.1,3.0,1.0,7.9
70.60072,11.017337,STRESS_DECREASE,-1.0,3.0,0,3.0,6.1,3.0,1.0,7.9
70.60072,10.784372,STRESS_DECREASE,-2.0,3.0,0,6.0,6.1,3.0,1.0,7.9
70.60072,11.177702,STRESS_DECREASE,-3.0,3.0,0,9.0,6.1,3.0,1.0,7.9
70.60072,11.663805,STRESS_DECREASE,-4.0,3.0,0,12.0,6.1,3.0,1.0,7.9
70.60072,73.00718,EXERCISE_INCREASE,1.0,1.0,1,1.0,6.1,3.0,1.0,7.9
70.60072,68.04728,EXERCISE_INCREASE,2.0,1.0,1,2.0,6.1,3.0,1.0,7.9
70.60072,70.60494,EXERCISE_INCREASE,3.0,1.0,1,3.0,6.1,3.0,1.0,7.9
70.60072,63.6853,EXERCISE_INCREASE,4.0,1.0,1,4.0,6.1,3.0,1.0,7.9
70.60072,10.067478,SCREEN_DECREASE,-1.0,7.9,0,7.9,6.1,3.0,1.0,7.9
70.60072,11.433026,SCREEN_DECREASE,-2.0,7.9,0,15.8,6.1,3.0,1.0,7.9
70.60072,11.085468,SCREEN_DECREASE,-3.0,7.9,0,23.700000000000003,6.1,3.0,1.0,7.9
70.60072,11.59347,SCREEN_DECREASE,-4.0,7.9,0,31.6,6.1,3.0,1.0,7.9
68.60836,-1.4954709,SLEEP_INCREASE,0.5,8.5,0,4.25,8.5,7.0,1.0,9.4
68.60836,-1.3154908,SLEEP_INCREASE,1.0,8.5,0,8.5,8.5,7.0,1.0,9.4
68.60836,-1.3871545,SLEEP_INCREASE,1.5,8.5,0,12.75,8.5,7.0,1.0,9.4
68.60836,-1.3316967,SLEEP_INCREASE,2.0,8.5,0,17.0,8.5,7.0,1.0,9.4
68.60836,-1.4114892,SLEEP_INCREASE,2.5,8.5,0,21.25,8.5,7.0,1.0,9.4
68.60836,-8.9502535,STRESS_DECREASE,-1.0,7.0,1,7.0,8.5,7.0,1.0,9.4
68.60836,3.4643626,STRESS_DECREASE,-2.0,7.0,1,14.0,8.5,7.0,1.0,9.4
68.60836,54.93754,STRESS_DECREASE,-3.0,7.0,1,21.0,8.5,7.0,1.0,9.4
68.60836,83.60072,STRESS_DECREASE,-4.0,7.0,1,28.0,8.5,7.0,1.0,9.4
68.60836,-12.018665,EXERCISE_INCREASE,1.0,1.0,1,1.0,8.5,7.0,1.0,9.4
68.60836,-10.674023,EXERCISE_INCREASE,2.0,1.0,1,2.0,8.5,7.0,1.0,9.4
68.60836,-9.404443,EXERCISE_INCREASE,3.0,1.0,1,3.0,8.5,7.0,1.0,9.4
68.60836,-8.224277,EXERCISE_INCREASE,4.0,1.0,1,4.0,8.5,7.0,1.0,9.4
68.60836,-11.943531,SCREEN_DECREASE,-1.0,9.4,1,9.4,8.5,7.0,1.0,9.4
68.60836,-8.878137,SCREEN_DECREASE,-2.0,9.4,1,18.8,8.5,7.0,1.0,9.4
68.60836,-7.016928,SCREEN_DECREASE,-3.0,9.4,1,28.200000000000003,8.5,7.0,1.0,9.4
68.60836,-5.6050797,SCREEN_DECREASE,-4.0,9.4,1,37.6,8.5,7.0,1.0,9.4
87.06817,-41.886276,SLEEP_INCREASE,0.5,4.1,1,2.05,4.1,10.0,1.0,5.8
87.06817,-43.867607,SLEEP_INCREASE,1.0,4.1,1,4.1,4.1,10.0,1.0,5.8
87.06817,-38.76159,SLEEP_INCREASE,1.5,4.1,1,6.1499999999999995,4.1,10.0,1.0,5.8
87.06817,-32.756897,SLEEP_INCREASE,2.0,4.1,1,8.2,4.1,10.0,1.0,5.8
87.06817,-32.119774,SLEEP_INCREASE,2.5,4.1,1,10.25,4.1,10.0,1.0,5.8
87.06817,-29.39606,STRESS_DECREASE,-1.0,10.0,1,10.0,4.1,10.0,1.0,5.8
87.06817,-26.630499,STRESS_DECREASE,-2.0,10.0,1,20.0,4.1,10.0,1.0,5.8
87.06817,-21.240253,STRESS_DECREASE,-3.0,10.0,1,30.0,4.1,10.0,1.0,5.8
87.06817,-12.888917,STRESS_DECREASE,-4.0,10.0,1,40.0,4.1,10.0,1.0,5.8
87.06817,-27.579107,EXERCISE_INCREASE,1.0,1.0,1,1.0,4.1,10.0,1.0,5.8
87.06817,-22.790188,EXERCISE_INCREASE,2.0,1.0,1,2.0,4.1,10.0,1.0,5.8
87.06817,-21.57645,EXERCISE_INCREASE,3.0,1.0,1,3.0,4.1,10.0,1.0,5.8
87.06817,-18.68935,EXERCISE_INCREASE,4.0,1.0,1,4.0,4.1,10.0,1.0,5.8
87.06817,-4.652933,SCREEN_DECREASE,-1.0,5.8,0,5.8,4.1,10.0,1.0,5.8
87.06817,-4.469423,SCREEN_DECREASE,-2.0,5.8,0,11.6,4.1,10.0,1.0,5.8
87.06817,-3.8700953,SCREEN_DECREASE,-3.0,5.8,0,17.4,4.1,10.0,1.0,5.8
87.06817,-4.1051726,SCREEN_DECREASE,-4.0,5.8,0,23.2,4.1,10.0,1.0,5.8
49.18686,3.0765266,SLEEP_INCREASE,0.5,9.8,0,4.9,9.8,7.0,0.0,1.5
49.18686,2.838783,SLEEP_INCREASE,1.0,9.8,0,9.8,9.8,7.0,0.0,1.5
49.18686,2.7439833,SLEEP_INCREASE,1.5,9.8,0,14.700000000000001,9.8,7.0,0.0,1.5
49.18686,2.733925,SLEEP_INCREASE,2.0,9.8,0,19.6,9.8,7.0,0.0,1.5
