original_score,modified_score,improvement,action_type,action_magnitude,action_description,original_sleep,original_stress,original_exercise,original_screen,modified_sleep,modified_stress,modified_exercise,modified_screen
65.92681,66.08735,0.16053772,CAFFEINE_ADJUST,-1.0,Adjust caffeine by 1 cups,6.8,2.0,1.0,3.8,6.8,2.0,1.0,3.8
65.92681,66.08735,0.16053772,CAFFEINE_ADJUST,0.0,Adjust caffeine by 0 cups,6.8,2.0,1.0,3.8,6.8,2.0,1.0,3.8
65.92681,66.08735,0.16053772,CAFFEINE_ADJUST,1.0,Adjust caffeine by 1 cups,6.8,2.0,1.0,3.8,6.8,2.0,1.0,3.8
79.028114,80.04478,1.0166626,SLEEP_INCREASE,0.5,Increase sleep by 0.5h,8.8,9.0,2.0,6.6,9.3,9.0,2.0,6.6
79.028114,80.56574,1.5376282,SLEEP_INCREASE,1.0,Increase sleep by 1.0h,8.8,9.0,2.0,6.6,9.8,9.0,2.0,6.6
79.028114,80.661865,1.6337509,SLEEP_INCREASE,1.5,Increase sleep by 1.5h,8.8,9.0,2.0,6.6,10.0,9.0,2.0,6.6
79.028114,80.661865,1.6337509,SLEEP_INCREASE,2.0,Increase sleep by 2.0h,8.8,9.0,2.0,6.6,10.0,9.0,2.0,6.6
79.028114,80.661865,1.6337509,SLEEP_INCREASE,2.5,Increase sleep by 2.5h,8.8,9.0,2.0,6.6,10.0,9.0,2.0,6.6
79.028114,80.661865,1.6337509,SLEEP_INCREASE,3.0,Increase sleep by 3.0h,8.8,9.0,2.0,6.6,10.0,9.0,2.0,6.6
79.028114,77.74773,-1.2803879,STRESS_DECREASE,-1.0,Reduce stress by 1 points,8.8,9.0,2.0,6.6,8.8,8.0,2.0,6.6
79.028114,69.90928,-9.118835,STRESS_DECREASE,-2.0,Reduce stress by 2 points,8.8,9.0,2.0,6.6,8.8,7.0,2.0,6.6
79.028114,70.00448,-9.023636,STRESS_DECREASE,-3.0,Reduce stress by 3 points,8.8,9.0,2.0,6.6,8.8,6.0,2.0,6.6
79.028114,70.031364,-8.99675,STRESS_DECREASE,-4.0,Reduce stress by 4 points,8.8,9.0,2.0,6.6,8.8,5.0,2.0,6.6
79.028114,70.176445,-8.851669,STRESS_DECREASE,-5.0,Reduce stress by 5 points,8.8,9.0,2.0,6.6,8.8,4.0,2.0,6.6
79.028114,79.50436,0.47624207,EXERCISE_INCREASE,1.0,Add 1 workout sessions/week,8.8,9.0,2.0,6.6,8.8,9.0,3.0,6.6
79.028114,79.50436,0.47624207,EXERCISE_INCREASE,2.0,Add 2 workout sessions/week,8.8,9.0,2.0,6.6,8.8,9.0,4.0,6.6
79.028114,79.50436,0.47624207,EXERCISE_INCREASE,3.0,Add 3 workout sessions/week,8.8,9.0,2.0,6.6,8.8,9.0,5.0,6.6
79.028114,79.50436,0.47624207,EXERCISE_INCREASE,4.0,Add 4 workout sessions/week,8.8,9.0,2.0,6.6,8.8,9.0,6.0,6.6
79.028114,80.12081,1.0926971,SCREEN_DECREASE,-1.0,Reduce screen time by 1h,8.8,9.0,2.0,6.6,8.8,9.0,2.0,5.6
79.028114,80.65519,1.6270752,SCREEN_DECREASE,-2.0,Reduce screen time by 2h,8.8,9.0,2.0,6.6,8.8,9.0,2.0,4.6
79.028114,81.01806,1.9899445,SCREEN_DECREASE,-3.0,Reduce screen time by 3h,8.8,9.0,2.0,6.6,8.8,9.0,2.0,3.5999999999999996
79.028114,82.43099,3.4028778,SCREEN_DECREASE,-4.0,Reduce screen time by 4h,8.8,9.0,2.0,6.6,8.8,9.0,2.0,2.5999999999999996
79.028114,79.64356,0.615448,CAFFEINE_ADJUST,-2.0,Adjust caffeine by 2 cups,8.8,9.0,2.0,6.6,8.8,9.0,2.0,6.6
79.028114,79.64356,0.615448,CAFFEINE_ADJUST,-1.0,Adjust caffeine by 1 cups,8.8,9.0,2.0,6.6,8.8,9.0,2.0,6.6
79.028114,79.64356,0.615448,CAFFEINE_ADJUST,0.0,Adjust caffeine by 0 cups,8.8,9.0,2.0,6.6,8.8,9.0,2.0,6.6
79.028114,79.64356,0.615448,CAFFEINE_ADJUST,1.0,Adjust caffeine by 1 cups,8.8,9.0,2.0,6.6,8.8,9.0,2.0,6.6
57.14282,57.909363,0.76654434,SLEEP_INCREASE,0.5,Increase sleep by 0.5h,8.2,4.0,0.0,9.0,8.7,4.0,0.0,9.0
57.14282,59.497864,2.3550453,SLEEP_INCREASE,1.0,Increase sleep by 1.0h,8.2,4.0,0.0,9.0,9.2,4.0,0.0,9.0
57.14282,60.580345,3.4375267,SLEEP_INCREASE,1.5,Increase sleep by 1.5h,8.2,4.0,0.0,9.0,9.7,4.0,0.0,9.0
57.14282,61.116535,3.9737167,SLEEP_INCREASE,2.0,Increase sleep by 2.0h,8.2,4.0,0.0,9.0,10.0,4.0,0.0,9.0
57.14282,61.116535,3.9737167,SLEEP_INCREASE,2.5,Increase sleep by 2.5h,8.2,4.0,0.0,9.0,10.0,4.0,0.0,9.0
57.14282,61.116535,3.9737167,SLEEP_INCREASE,3.0,Increase sleep by 3.0h,8.2,4.0,0.0,9.0,10.0,4.0,0.0,9.0
57.14282,57.162045,0.019226074,STRESS_DECREASE,-1.0,Reduce stress by 1 points,8.2,4.0,0.0,9.0,8.2,3.0,0.0,9.0
57.14282,57.16142,0.018600464,STRESS_DECREASE,-2.0,Reduce stress by 2 points,8.2,4.0,0.0,9.0,8.2,2.0,0.0,9.0
57.14282,57.161625,0.018806458,STRESS_DECREASE,-3.0,Reduce stress by 3 points,8.2,4.0,0.0,9.0,8.2,1.0,0.0,9.0
57.14282,57.161625,0.018806458,STRESS_DECREASE,-4.0,Reduce stress by 4 points,8.2,4.0,0.0,9.0,8.2,1.0,0.0,9.0
57.14282,57.161625,0.018806458,STRESS_DECREASE,-5.0,Reduce stress by 5 points,8.2,4.0,0.0,9.0,8.2,1.0,0.0,9.0
57.14282,58.850254,1.7074356,EXERCISE_INCREASE,1.0,Add 1 workout sessions/week,8.2,4.0,0.0,9.0,8.2,4.0,1.0,9.0
57.14282,58.901756,1.7589378,EXERCISE_INCREASE,2.0,Add 2 workout sessions/week,8.2,4.0,0.0,9.0,8.2,4.0,2.0,9.0
57.14282,59.682682,2.5398636,EXERCISE_INCREASE,3.0,Add 3 workout sessions/week,8.2,4.0,0.0,9.0,8.2,4.0,3.0,9.0
57.14282,59.682682,2.5398636,EXERCISE_INCREASE,4.0,Add 4 workout sessions/week,8.2,4.0,0.0,9.0,8.2,4.0,4.0,9.0
57.14282,57.14268,-0.0001373291,SCREEN_DECREASE,-1.0,Reduce screen time by 1h,8.2,4.0,0.0,9.0,8.2,4.0,0.0,8.0
57.14282,57.20071,0.057891846,SCREEN_DECREASE,-2.0,Reduce screen time by 2h,8.2,4.0,0.0,9.0,8.2,4.0,0.0,7.0
57.14282,57.376976,0.23415756,SCREEN_DECREASE,-3.0,Reduce screen time by 3h,8.2,4.0,0.0,9.0,8.2,4.0,0.0,6.0
57.14282,57.586414,0.4435959,SCREEN_DECREASE,-4.0,Reduce screen time by 4h,8.2,4.0,0.0,9.0,8.2,4.0,0.0,5.0
57.14282,57.432446,0.28962708,CAFFEINE_ADJUST,-2.0,Adjust caffeine by 2 cups,8.2,4.0,0.0,9.0,8.2,4.0,0.0,9.0
57.14282,57.432446,0.28962708,CAFFEINE_ADJUST,-1.0,Adjust caffeine by 1 cups,8.2,4.0,0.0,9.0,8.2,4.0,0.0,9.0
57.14282,57.432446,0.28962708,CAFFEINE_ADJUST,0.0,Adjust caffeine by 0 cups,8.2,4.0,0.0,9.0,8.2,4.0,0.0,9.0
57.14282,57.432446,0.28962708,CAFFEINE_ADJUST,1.0,Adjust caffeine by 1 cups,8.2,4.0,0.0,9.0,8.2,4.0,0.0,9.0
48.487637,49.96563,1.477993,SLEEP_INCREASE,0.5,Increase sleep by 0.5h,5.4,7.0,2.0,9.7,5.9,7.0,2.0,9.7
48.487637,50.951458,2.4638214,SLEEP_INCREASE,1.0,Increase sleep by 1.0h,5.4,7.0,2.0,9.7,6.4,7.0,2.0,9.7
48.487637,52.47482,3.9871826,SLEEP_INCREASE,1.5,Increase sleep by 1.5h,5.4,7.0,2.0,9.7,6.9,7.0,2.0,9.7
48.487637,54.699318,6.2116814,SLEEP_INCREASE,2.0,Increase sleep by 2.0h,5.4,7.0,2.0,9.7,7.4,7.0,2.0,9.7
48.487637,55.52785,7.0402145,SLEEP_INCREASE,2.5,Increase sleep by 2.5h,5.4,7.0,2.0,9.7,7.9,7.0,2.0,9.7
48.487637,57.779724,9.292088,SLEEP_INCREASE,3.0,Increase sleep by 3.0h,5.4,7.0,2.0,9.7,8.4,7.0,2.0,9.7
48.487637,48.607037,0.119400024,STRESS_DECREASE,-1.0,Reduce stress by 1 points,5.4,7.0,2.0,9.7,5.4,6.0,2.0,9.7
48.487637,48.574097,0.08646011,STRESS_DECREASE,-2.0,Reduce stress by 2 points,5.4,7.0,2.0,9.7,5.4,5.0,2.0,9.7
48.487637,48.861046,0.37340927,STRESS_DECREASE,-3.0,Reduce stress by 3 points,5.4,7.0,2.0,9.7,5.4,4.0,2.0,9.7
48.487637,48.8954,0.40776443,STRESS_DECREASE,-4.0,Reduce stress by 4 points,5.4,7.0,2.0,9.7,5.4,3.0,2.0,9.7
48.487637,49.179123,0.69148636,STRESS_DECREASE,-5.0,Reduce stress by 5 points,5.4,7.0,2.0,9.7,5.4,2.0,2.0,9.7
48.487637,48.43182,-0.05581665,EXERCISE_INCREASE,1.0,Add 1 workout sessions/week,5.4,7.0,2.0,9.7,5.4,7.0,3.0,9.7
48.487637,48.452885,-0.034751892,EXERCISE_INCREASE,2.0,Add 2 workout sessions/week,5.4,7.0,2.0,9.7,5.4,7.0,4.0,9.7
48.487637,48.452885,-0.034751892,EXERCISE_INCREASE,3.0,Add 3 workout sessions/week,5.4,7.0,2.0,9.7,5.4,7.0,5.0,9.7
48.487637,48.452885,-0.034751892,EXERCISE_INCREASE,4.0,Add 4 workout sessions/week,5.4,7.0,2.0,9.7,5.4,7.0,6.0,9.7
48.487637,48.549152,0.061515808,SCREEN_DECREASE,-1.0,Reduce screen time by 1h,5.4,7.0,2.0,9.7,5.4,7.0,2.0,8.7
48.487637,48.70789,0.22025299,SCREEN_DECREASE,-2.0,Reduce screen time by 2h,5.4,7.0,2.0,9.7,5.4,7.0,2.0,7.699999999999999
48.487637,48.715595,0.22795868,SCREEN_DECREASE,-3.0,Reduce screen time by 3h,5.4,7.0,2.0,9.7,5.4,7.0,2.0,6.699999999999999
48.487637,48.866512,0.37887573,SCREEN_DECREASE,-4.0,Reduce screen time by 4h,5.4,7.0,2.0,9.7,5.4,7.0,2.0,5.699999999999999
48.487637,48.78726,0.29962158,CAFFEINE_ADJUST,-2.0,Adjust caffeine by 2 cups,5.4,7.0,2.0,9.7,5.4,7.0,2.0,9.7
48.487637,48.78726,0.29962158,CAFFEINE_ADJUST,-1.0,Adjust caffeine by 1 cups,5.4,7.0,2.0,9.7,5.4,7.0,2.0,9.7
48.487637,48.78726,0.29962158,CAFFEINE_ADJUST,0.0,Adjust caffeine by 0 cups,5.4,7.0,2.0,9.7,5.4,7.0,2.0,9.7
48.487637,48.78726,0.29962158,CAFFEINE_ADJUST,1.0,Adjust caffeine by 1 cups,5.4,7.0,2.0,9.7,5.4,7.0,2.0,9.7
93.022224,93.01814,-0.004081726,SLEEP_INCREASE,0.5,Increase sleep by 0.5h,7.8,9.0,1.0,7.4,8.3,9.0,1.0,7.4
93.022224,93.01469,-0.007537842,SLEEP_INCREASE,1.0,Increase sleep by 1.0h,7.8,9.0,1.0,7.4,8.8,9.0,1.0,7.4
93.022224,93.08881,0.066589355,SLEEP_INCREASE,1.5,Increase sleep by 1.5h,7.8,9.0,1.0,7.4,9.3,9.0,1.0,7.4
93.022224,93.23316,0.2109375,SLEEP_INCREASE,2.0,Increase sleep by 2.0h,7.8,9.0,1.0,7.4,9.8,9.0,1.0,7.4
93.022224,93.327866,0.30564117,SLEEP_INCREASE,2.5,Increase sleep by 2.5h,7.8,9.0,1.0,7.4,10.0,9.0,1.0,7.4
93.022224,93.327866,0.30564117,SLEEP_INCREASE,3.0,Increase sleep by 3.0h,7.8,9.0,1.0,7.4,10.0,9.0,1.0,7.4
93.022224,92.4582,-0.5640259,STRESS_DECREASE,-1.0,Reduce stress by 1 points,7.8,9.0,1.0,7.4,7.8,8.0,1.0,7.4
93.022224,89.629555,-3.3926697,STRESS_DECREASE,-2.0,Reduce stress by 2 points,7.8,9.0,1.0,7.4,7.8,7.0,1.0,7.4
93.022224,89.64191,-3.3803177,STRESS_DECREASE,-3.0,Reduce stress by 3 points,7.8,9.0,1.0,7.4,7.8,6.0,1.0,7.4
93.022224,89.67478,-3.3474426,STRESS_DECREASE,-4.0,Reduce stress by 4 points,7.8,9.0,1.0,7.4,7.8,5.0,1.0,7.4
93.022224,89.72249,-3.299736,STRESS_DECREASE,-5.0,Reduce stress by 5 points,7.8,9.0,1.0,7.4,7.8,4.0,1.0,7.4
93.022224,92.97308,-0.04914093,EXERCISE_INCREASE,1.0,Add 1 workout sessions/week,7.8,9.0,1.0,7.4,7.8,9.0,2.0,7.4
93.022224,92.97361,-0.048614502,EXERCISE_INCREASE,2.0,Add 2 workout sessions/week,7.8,9.0,1.0,7.4,7.8,9.0,3.0,7.4
93.022224,92.97361,-0.048614502,EXERCISE_INCREASE,3.0,Add 3 workout sessions/week,7.8,9.0,1.0,7.4,7.8,9.0,4.0,7.4
93.022224,92.97361,-0.048614502,EXERCISE_INCREASE,4.0,Add 4 workout sessions/week,7.8,9.0,1.0,7.4,7.8,9.0,5.0,7.4
93.022224,93.94326,0.92103577,SCREEN_DECREASE,-1.0,Reduce screen time by 1h,7.8,9.0,1.0,7.4,7.8,9.0,1.0,6.4
93.022224,94.44083,1.418602,SCREEN_DECREASE,-2.0,Reduce screen time by 2h,7.8,9.0,1.0,7.4,7.8,9.0,1.0,5.4
93.022224,94.50934,1.487114,SCREEN_DECREASE,-3.0,Reduce screen time by 3h,7.8,9.0,1.0,7.4,7.8,9.0,1.0,4.4
93.022224,94.901276,1.8790512,SCREEN_DECREASE,-4.0,Reduce screen time by 4h,7.8,9.0,1.0,7.4,7.8,9.0,1.0,3.4000000000000004
93.022224,96.14125,3.1190262,CAFFEINE_ADJUST,-2.0,Adjust caffeine by 2 cups,7.8,9.0,1.0,7.4,7.8,9.0,1.0,7.4
93.022224,96.14125,3.1190262,CAFFEINE_ADJUST,-1.0,Adjust caffeine by 1 cups,7.8,9.0,1.0,7.4,7.8,9.0,1.0,7.4
93.022224,96.14125,3.1190262,CAFFEINE_ADJUST,0.0,Adjust caffeine by 0 cups,7.8,9.0,1.0,7.4,7.8,9.0,1.0,7.4
93.022224,96.14125,3.1190262,CAFFEINE_ADJUST,1.0,Adjust caffeine by 1 cups,7.8,9.0,1.0,7.4,7.8,9.0,1.0,7.4
88.51257,88.55362,0.041046143,SLEEP_INCREASE,0.5,Increase sleep by 0.5h,9.8,4.0,0.0,2.3,10.0,4.0,0.0,2.3
88.51257,88.55362,0.041046143,SLEEP_INCREASE,1.0,Increase sleep by 1.0h,9.8,4.0,0.0,2.3,10.0,4.0,0.0,2.3
88.51257,88.55362,0.041046143,SLEEP_INCREASE,1.5,Increase sleep by 1.5h,9.8,4.0,0.0,2.3,10.0,4.0,0.0,2.3
88.51257,88.55362,0.041046143,SLEEP_INCREASE,2.0,Increase sleep by 2.0h,9.8,4.0,0.0,2.3,10.0,4.0,0.0,2.3
88.51257,88.55362,0.041046143,SLEEP_INCREASE,2.5,Increase sleep by 2.5h,9.8,4.0,0.0,2.3,10.0,4.0,0.0,2.3
88.51257,88.55362,0.041046143,SLEEP_INCREASE,3.0,Increase sleep by 3.0h,9.8,4.0,0.0,2.3,10.0,4.0,0.0,2.3
88.51257,88.51645,0.0038757324,STRESS_DECREASE,-1.0,Reduce stress by 1 points,9.8,4.0,0.0,2.3,9.8,3.0,0.0,2.3
88.51257,88.51713,0.0045547485,STRESS_DECREASE,-2.0,Reduce stress by 2 points,9.8,4.0,0.0,2.3,9.8,2.0,0.0,2.3
88.51257,88.51051,-0.0020599365,STRESS_DECREASE,-3.0,Reduce stress by 3 points,9.8,4.0,0.0,2.3,9.8,1.0,0.0,2.3
88.51257,88.51051,-0.0020599365,STRESS_DECREASE,-4.0,Reduce stress by 4 points,9.8,4.0,0.0,2.3,9.8,1.0,0.0,2.3
88.51257,88.51051,-0.0020599365,STRESS_DECREASE,-5.0,Reduce stress by 5 points,9.8,4.0,0.0,2.3,9.8,1.0,0.0,2.3
88.51257,88.650566,0.13799286,EXERCISE_INCREASE,1.0,Add 1 workout sessions/week,9.8,4.0,0.0,2.3,9.8,4.0,1.0,2.3
88.51257,88.63512,0.122543335,EXERCISE_INCREASE,2.0,Add 2 workout sessions/week,9.8,4.0,0.0,2.3,9.8,4.0,2.0,2.3
88.51257,88.63512,0.122543335,EXERCISE_INCREASE,3.0,Add 3 workout sessions/week,9.8,4.0,0.0,2.3,9.8,4.0,3.0,2.3
88.51257,88.63512,0.122543335,EXERCISE_INCREASE,4.0,Add 4 workout sessions/week,9.8,4.0,0.0,2.3,9.8,4.0,4.0,2.3
88.51257,88.54641,0.033836365,SCREEN_DECREASE,-1.0,Reduce screen time by 1h,9.8,4.0,0.0,2.3,9.8,4.0,0.0,1.2999999999999998
88.51257,88.57737,0.06479645,SCREEN_DECREASE,-2.0,Reduce screen time by 2h,9.8,4.0,0.0,2.3,9.8,4.0,0.0,1.0
88.51257,88.57737,0.06479645,SCREEN_DECREASE,-3.0,Reduce screen time by 3h,9.8,4.0,0.0,2.3,9.8,4.0,0.0,1.0
88.51257,88.57737,0.06479645,SCREEN_DECREASE,-4.0,Reduce screen time by 4h,9.8,4.0,0.0,2.3,9.8,4.0,0.0,1.0
88.51257,88.60286,0.090286255,CAFFEINE_ADJUST,-2.0,Adjust caffeine by 2 cups,9.8,4.0,0.0,2.3,9.8,4.0,0.0,2.3
88.51257,88.60286,0.090286255,CAFFEINE_ADJUST,-1.0,Adjust caffeine by 1 cups,9.8,4.0,0.0,2.3,9.8,4.0,0.0,2.3
88.51257,88.60286,0.090286255,CAFFEINE_ADJUST,0.0,Adjust caffeine by 0 cups,9.8,4.0,0.0,2.3,9.8,4.0,0.0,2.3
88.51257,88.60286,0.090286255,CAFFEINE_ADJUST,1.0,Adjust caffeine by 1 cups,9.8,4.0,0.0,2.3,9.8,4.0,0.0,2.3
77.10637,77.11897,0.01260376,SLEEP_INCREASE,0.5,Increase sleep by 0.5h,4.5,4.0,0.0,2.4,5.0,4.0,0.0,2.4
77.10637,77.13227,0.025901794,SLEEP_INCREASE,1.0,Increase sleep by 1.0h,4.5,4.0,0.0,2.4,5.5,4.0,0.0,2.4
77.10637,77.11231,0.0059432983,SLEEP_INCREASE,1.5,Increase sleep by 1.5h,4.5,4.0,0.0,2.4,6.0,4.0,0.0,2.4
77.10637,77.11496,0.008590698,SLEEP_INCREASE,2.0,Increase sleep by 2.0h,4.5,4.0,0.0,2.4,6.5,4.0,0.0,2.4
77.10637,77.02462,-0.08174896,SLEEP_INCREASE,2.5,Increase sleep by 2.5h,4.5,4.0,0.0,2.4,7.0,4.0,0.0,2.4
77.10637,76.863556,-0.24281311,SLEEP_INCREASE,3.0,Increase sleep by 3.0h,4.5,4.0,0.0,2.4,7.5,4.0,0.0,2.4
77.10637,77.132835,0.02646637,STRESS_DECREASE,-1.0,Reduce stress by 1 points,4.5,4.0,0.0,2.4,4.5,3.0,0.0,2.4
77.10637,77.14709,0.04071808,STRESS_DECREASE,-2.0,Reduce stress by 2 points,4.5,4.0,0.0,2.4,4.5,2.0,0.0,2.4
77.10637,77.144005,0.037635803,STRESS_DECREASE,-3.0,Reduce stress by 3 points,4.5,4.0,0.0,2.4,4.5,1.0,0.0,2.4
77.10637,77.144005,0.037635803,STRESS_DECREASE,-4.0,Reduce stress by 4 points,4.5,4.0,0.0,2.4,4.5,1.0,0.0,2.4
77.10637,77.144005,0.037635803,STRESS_DECREASE,-5.0,Reduce stress by 5 points,4.5,4.0,0.0,2.4,4.5,1.0,0.0,2.4
77.10637,77.78239,0.67601776,EXERCISE_INCREASE,1.0,Add 1 workout sessions/week,4.5,4.0,0.0,2.4,4.5,4.0,1.0,2.4
77.10637,77.74089,0.6345215,EXERCISE_INCREASE,2.0,Add 2 workout sessions/week,4.5,4.0,0.0,2.4,4.5,4.0,2.0,2.4
77.10637,77.662796,0.556427,EXERCISE_INCREASE,3.0,Add 3 workout sessions/week,4.5,4.0,0.0,2.4,4.5,4.0,3.0,2.4
77.10637,77.67357,0.5671997,EXERCISE_INCREASE,4.0,Add 4 workout sessions/week,4.5,4.0,0.0,2.4,4.5,4.0,4.0,2.4
77.10637,77.2426,0.13623047,SCREEN_DECREASE,-1.0,Reduce screen time by 1h,4.5,4.0,0.0,2.4,4.5,4.0,0.0,1.4
77.10637,77.2294,0.123031616,SCREEN_DECREASE,-2.0,Reduce screen time by 2h,4.5,4.0,0.0,2.4,4.5,4.0,0.0,1.0
77.10637,77.2294,0.123031616,SCREEN_DECREASE,-3.0,Reduce screen time by 3h,4.5,4.0,0.0,2.4,4.5,4.0,0.0,1.0
77.10637,77.2294,0.123031616,SCREEN_DECREASE,-4.0,Reduce screen time by 4h,4.5,4.0,0.0,2.4,4.5,4.0,0.0,1.0
77.10637,77.175674,0.06930542,CAFFEINE_ADJUST,-2.0,Adjust caffeine by 2 cups,4.5,4.0,0.0,2.4,4.5,4.0,0.0,2.4
77.10637,77.175674,0.06930542,CAFFEINE_ADJUST,-1.0,Adjust caffeine by 1 cups,4.5,4.0,0.0,2.4,4.5,4.0,0.0,2.4
77.10637,77.175674,0.06930542,CAFFEINE_ADJUST,0.0,Adjust caffeine by 0 cups,4.5,4.0,0.0,2.4,4.5,4.0,0.0,2.4
77.10637,77.175674,0.06930542,CAFFEINE_ADJUST,1.0,Adjust caffeine by 1 cups,4.5,4.0,0.0,2.4,4.5,4.0,0.0,2.4
58.4616,59.695145,1.2335434,SLEEP_INCREASE,0.5,Increase sleep by 0.5h,7.4,9.0,2.0,7.3,7.9,9.0,2.0,7.3
58.4616,61.580074,3.118473,SLEEP_INCREASE,1.0,Increase sleep by 1.0h,7.4,9.0,2.0,7.3,8.4,9.0,2.0,7.3
58.4616,62.96347,4.501869,SLEEP_INCREASE,1.5,Increase sleep by 1.5h,7.4,9.0,2.0,7.3,8.9,9.0,2.0,7.3
58.4616,65.396454,6.9348526,SLEEP_INCREASE,2.0,Increase sleep by 2.0h,7.4,9.0,2.0,7.3,9.4,9.0,2.0,7.3
58.4616,65.81881,7.3572083,SLEEP_INCREASE,2.5,Increase sleep by 2.5h,7.4,9.0,2.0,7.3,9.9,9.0,2.0,7.3
58.4616,65.91017,7.4485703,SLEEP_INCREASE,3.0,Increase sleep by 3.0h,7.4,9.0,2.0,7.3,10.0,9.0,2.0,7.3
58.4616,56.859066,-1.6025352,STRESS_DECREASE,-1.0,Reduce stress by 1 points,7.4,9.0,2.0,7.3,7.4,8.0,2.0,7.3
58.4616,50.111248,-8.350353,STRESS_DECREASE,-2.0,Reduce stress by 2 points,7.4,9.0,2.0,7.3,7.4,7.0,2.0,7.3
58.4616,50.161324,-8.300278,STRESS_DECREASE,-3.0,Reduce stress by 3 points,7.4,9.0,2.0,7.3,7.4,6.0,2.0,7.3
58.4616,50.23499,-8.226612,STRESS_DECREASE,-4.0,Reduce stress by 4 points,7.4,9.0,2.0,7.3,7.4,5.0,2.0,7.3
58.4616,50.235195,-8.226406,STRESS_DECREASE,-5.0,Reduce stress by 5 points,7.4,9.0,2.0,7.3,7.4,4.0,2.0,7.3
58.4616,59.111805,0.6502037,EXERCISE_INCREASE,1.0,Add 1 workout sessions/week,7.4,9.0,2.0,7.3,7.4,9.0,3.0,7.3
58.4616,59.111805,0.6502037,EXERCISE_INCREASE,2.0,Add 2 workout sessions/week,7.4,9.0,2.0,7.3,7.4,9.0,4.0,7.3
58.4616,59.111805,0.6502037,EXERCISE_INCREASE,3.0,Add 3 workout sessions/week,7.4,9.0,2.0,7.3,7.4,9.0,5.0,7.3
58.4616,59.111805,0.6502037,EXERCISE_INCREASE,4.0,Add 4 workout sessions/week,7.4,9.0,2.0,7.3,7.4,9.0,6.0,7.3
58.4616,58.908283,0.44668198,SCREEN_DECREASE,-1.0,Reduce screen time by 1h,7.4,9.0,2.0,7.3,7.4,9.0,2.0,6.3
